id,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,is_red
1151,white,6.8,0.32,0.18,7.5,0.041,71.0,223.0,0.9959,3.14,0.41,8.9,4.35,0
1152,white,6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,4.0,0
1153,white,5.3,0.395,0.07,1.3,0.035,26.0,102.0,0.992,3.5,0.35,10.6,5.16,0
1154,white,7.9,0.16,0.3,4.8,0.037,37.0,171.0,0.9967,3.47,0.44,9.0,3.72,0
1155,white,7.6,0.33,0.36,2.1,0.034,26.0,172.0,0.9944,3.42,0.48,10.5,4.16,0
1156,white,7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,5.94,0
1157,white,7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,6.3,0
1158,white,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6.78,0
1159,white,7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,6.66,0
1160,white,7.5,0.14,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.8,9.6,6.3,0
1161,white,7.8,0.3,0.29,16.85,0.054,23.0,135.0,0.9998,3.16,0.38,9.0,4.98,0
1162,white,6.6,0.25,0.41,7.4,0.043,29.0,151.0,0.9946,3.15,0.6,10.2,6.93,0
1163,white,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6.72,0
1164,white,8.2,0.23,0.49,0.9,0.057,15.0,73.0,0.9928,3.07,0.38,10.4,5.16,0
1165,white,6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41,10.4,5.0,0
1166,white,6.1,0.45,0.27,0.8,0.039,13.0,82.0,0.9927,3.23,0.32,9.5,4.6,0
1167,white,7.4,0.23,0.43,1.4,0.044,22.0,113.0,0.9938,3.22,0.62,10.6,5.58,0
1168,white,7.2,0.2,0.38,1.0,0.037,21.0,74.0,0.9918,3.21,0.37,11.0,4.9,0
1169,white,7.5,0.14,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.8,9.6,7.14,0
1170,white,7.7,0.25,0.43,4.5,0.062,20.0,115.0,0.9966,3.38,0.5,9.9,5.16,0
1171,white,8.2,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,4.6,0
1172,white,7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,3.01,0.7,12.8,5.76,0
1173,white,7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,5.15,0
1174,white,7.2,0.26,0.26,12.7,0.036,49.0,214.0,0.9986,3.41,0.5,10.0,5.64,0
1175,white,6.4,0.25,0.41,8.6,0.042,57.0,173.0,0.9965,3.0,0.44,9.1,4.9,0
1176,white,6.3,0.32,0.35,11.1,0.039,29.0,198.0,0.9984,3.36,0.5,9.4,7.77,0
1177,white,6.8,0.25,0.29,2.0,0.042,19.0,189.0,0.9952,3.46,0.54,10.2,6.66,0
1178,white,9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.39,9.2,5.0,0
1179,white,7.2,0.2,0.25,4.5,0.044,31.0,109.0,0.9949,3.23,0.36,9.4,5.6,0
1180,white,8.2,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,4.95,0
1181,white,7.5,0.42,0.45,9.1,0.029,20.0,125.0,0.996,3.12,0.36,10.1,6.54,0
1182,white,7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,4.9,0
1183,white,6.4,0.26,0.3,2.2,0.025,33.0,134.0,0.992,3.21,0.47,10.6,7.14,0
1184,white,7.9,0.46,0.32,4.1,0.033,40.0,138.0,0.9912,3.18,0.44,12.8,5.67,0
1185,white,6.5,0.41,0.64,11.8,0.065,65.0,225.0,0.9978,3.12,0.51,8.9,4.15,0
1186,white,7.5,0.32,0.37,1.2,0.048,22.0,184.0,0.9938,3.09,0.43,9.3,4.5,0
1187,white,6.6,0.21,0.38,2.2,0.026,40.0,104.0,0.9914,3.25,0.4,11.1,6.8,0
1188,white,7.1,0.21,0.3,1.4,0.037,45.0,143.0,0.9932,3.13,0.33,9.9,5.1,0
1189,white,7.6,0.26,0.47,1.6,0.068,5.0,55.0,0.9944,3.1,0.45,9.6,5.9,0
1190,white,7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,3.01,0.7,12.8,6.36,0
1191,white,6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.9948,3.16,0.72,10.7,7.21,0
1192,white,7.1,0.26,0.32,14.45,0.074,29.0,107.0,0.998,2.96,0.42,9.2,4.86,0
1193,white,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,5.67,0
1194,white,6.2,0.37,0.22,8.3,0.025,36.0,216.0,0.9964,3.33,0.6,9.6,6.96,0
1195,white,7.9,0.22,0.45,14.2,0.038,53.0,141.0,0.9992,3.03,0.46,9.2,6.36,0
1196,white,6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.9948,3.16,0.72,10.7,7.42,0
1197,white,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7.63,0
1198,white,7.1,0.26,0.32,14.45,0.074,29.0,107.0,0.998,2.96,0.42,9.2,5.7,0
1199,white,7.4,0.25,0.37,6.9,0.02,14.0,93.0,0.9939,3.0,0.48,10.7,6.86,0
1200,white,6.8,0.18,0.37,1.5,0.027,37.0,93.0,0.992,3.3,0.45,10.8,6.12,0
1201,white,7.0,0.17,0.37,1.5,0.028,26.0,75.0,0.9922,3.3,0.46,10.8,6.79,0
1202,white,6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.9955,3.1,0.37,9.0,5.7,0
1203,white,5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,6.36,0
1204,white,5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,4.98,0
1205,white,8.9,0.33,0.32,1.5,0.047,11.0,200.0,0.9954,3.19,0.46,9.4,4.45,0
1206,white,7.0,0.26,0.46,15.55,0.037,61.0,171.0,0.9986,2.94,0.35,8.8,5.7,0
1207,white,6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.9955,3.1,0.37,9.0,4.9,0
1208,white,6.3,0.21,0.4,1.7,0.031,48.0,134.0,0.9917,3.42,0.49,11.5,6.42,0
1209,white,8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.9907,3.23,0.47,12.5,5.88,0
1210,white,9.2,0.28,0.41,1.0,0.042,14.0,59.0,0.9922,2.96,0.25,10.5,6.24,0
1211,white,7.3,0.27,0.39,6.7,0.064,28.0,188.0,0.9958,3.29,0.3,9.7,5.45,0
1212,white,7.6,0.32,0.36,1.6,0.04,32.0,155.0,0.993,3.23,0.52,11.3,5.4,0
1213,white,5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.9917,3.48,0.44,10.7,6.9,0
1214,white,9.7,0.24,0.45,1.2,0.033,11.0,59.0,0.9926,2.74,0.47,10.8,5.22,0
1215,white,8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,5.4,0
1216,white,8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,8.96,0
1217,white,8.0,0.61,0.38,12.1,0.301,24.0,220.0,0.9993,2.94,0.48,9.2,4.2,0
1218,white,7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.34,11.1,8.0,0
1219,white,8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.9906,3.04,0.32,11.7,7.28,0
1220,white,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11.0,5.16,0
1221,white,5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.992,3.51,0.58,12.5,5.67,0
1222,white,7.6,0.28,0.39,1.2,0.038,21.0,115.0,0.994,3.16,0.67,10.0,5.28,0
1223,white,8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.9959,3.17,0.43,10.6,4.8,0
1224,white,7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,6.23,0
1225,white,6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,5.16,0
1226,white,7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.9908,3.26,0.54,12.3,7.84,0
1227,white,6.9,0.18,0.38,6.5,0.039,20.0,110.0,0.9943,3.1,0.42,10.5,4.8,0
1228,white,9.4,0.26,0.53,1.2,0.047,25.0,109.0,0.9921,3.23,0.28,12.5,6.72,0
1229,white,8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,3.3,0
1230,white,7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,7.08,0
1231,white,7.9,0.41,0.37,4.5,0.03,40.0,114.0,0.992,3.17,0.54,12.4,7.91,0
1232,white,7.9,0.44,0.37,5.85,0.033,27.0,93.0,0.992,3.16,0.54,12.6,5.88,0
1233,white,7.7,0.39,0.3,5.2,0.037,29.0,131.0,0.9943,3.38,0.44,11.0,6.96,0
1234,white,7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5,10.1,4.98,0
1235,white,7.8,0.32,0.31,1.7,0.036,46.0,195.0,0.993,3.03,0.48,10.5,5.85,0
1236,white,6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.9902,3.14,0.53,12.7,5.76,0
1237,white,7.3,0.24,0.39,3.6,0.024,35.0,116.0,0.9928,3.17,0.51,10.9,4.95,0
1238,white,7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,8.26,0
1239,white,10.3,0.25,0.48,2.2,0.042,28.0,164.0,0.998,3.19,0.59,9.7,4.55,0
1240,white,7.9,0.14,0.28,1.8,0.041,44.0,178.0,0.9954,3.45,0.43,9.2,5.1,0
1241,white,7.4,0.18,0.42,2.1,0.036,33.0,187.0,0.9938,3.4,0.41,10.6,7.56,0
1242,white,8.1,0.43,0.42,6.6,0.033,36.0,141.0,0.9918,2.98,0.39,13.3,8.12,0
1243,white,7.1,0.44,0.37,2.7,0.041,35.0,128.0,0.9896,3.07,0.43,13.5,6.37,0
1244,white,6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,3.29,0.32,10.1,5.5,0
1245,white,8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,4.28,0
1246,white,8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.9953,3.18,0.4,10.6,7.63,0
1247,white,7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.992,3.25,0.4,11.3,6.66,0
1248,white,7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.9925,3.32,0.4,10.8,6.23,0
1249,white,8.4,0.57,0.44,10.7,0.051,46.0,195.0,0.9981,3.15,0.51,10.4,5.75,0
1250,white,5.3,0.26,0.23,5.15,0.034,48.0,160.0,0.9952,3.82,0.51,10.5,7.56,0
1251,white,5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.9927,3.13,0.42,9.3,4.65,0
1252,white,5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.9927,3.12,0.42,9.3,7.14,0
1253,white,7.3,0.25,0.41,1.8,0.037,52.0,165.0,0.9911,3.29,0.39,12.2,7.49,0
1254,white,7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,4.4,0
1255,white,6.4,0.22,0.34,1.8,0.057,29.0,104.0,0.9959,3.81,0.57,10.3,5.46,0
1256,white,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,6.6,0
1257,white,6.4,0.17,0.27,6.7,0.036,88.0,223.0,0.9948,3.28,0.35,10.2,6.12,0
1258,white,6.9,0.29,0.16,6.8,0.034,65.0,212.0,0.9955,3.08,0.39,9.0,6.18,0
1259,white,6.2,0.21,0.38,6.8,0.036,64.0,245.0,0.9951,3.06,0.36,9.3,6.36,0
1260,white,6.4,0.23,0.3,7.1,0.037,63.0,236.0,0.9952,3.06,0.34,9.2,6.36,0
1261,white,7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.9946,3.32,0.64,9.4,5.76,0
1262,white,7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.9946,3.33,0.62,9.4,5.04,0
1263,white,9.6,0.29,0.46,1.45,0.039,77.5,223.0,0.9944,2.92,0.46,9.5,5.46,0
1264,white,7.2,0.14,0.35,1.2,0.036,15.0,73.0,0.9938,3.46,0.39,9.9,5.75,0
1265,white,6.9,0.31,0.34,7.4,0.059,36.0,174.0,0.9963,3.46,0.62,11.1,7.14,0
1266,white,7.5,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3,6.64,0
1267,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,6.93,0
1268,white,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,4.75,0
1269,white,8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,7.02,0
1270,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,6.44,0
1271,white,8.1,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,4.4,0
1272,white,7.0,0.39,0.31,5.3,0.169,32.0,162.0,0.9965,3.2,0.48,9.4,4.55,0
1273,white,8.1,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,5.95,0
1274,white,8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,5.4,0
1275,white,6.2,0.22,0.27,1.5,0.064,20.0,132.0,0.9938,3.22,0.46,9.2,5.46,0
1276,white,8.0,0.22,0.42,14.6,0.044,45.0,163.0,1.0003,3.21,0.69,8.6,8.19,0
1277,white,7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.9966,3.04,0.35,9.4,5.8,0
1278,white,7.0,0.24,0.36,4.9,0.083,10.0,133.0,0.9942,3.33,0.37,10.8,6.66,0
1279,white,6.6,0.27,0.3,1.9,0.025,14.0,153.0,0.9928,3.29,0.62,10.5,6.54,0
1280,white,7.8,0.16,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,4.98,0
1281,white,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,6.79,0
1282,white,7.4,0.31,0.74,10.7,0.039,51.0,147.0,0.9977,3.02,0.43,8.7,5.05,0
1283,white,8.0,0.45,0.36,8.8,0.026,50.0,151.0,0.9927,3.07,0.25,12.7,7.28,0
1284,white,7.7,0.27,0.34,1.8,0.028,26.0,168.0,0.9911,2.99,0.48,12.1,8.05,0
1285,white,7.8,0.16,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,6.66,0
1286,white,6.6,0.16,0.29,1.8,0.05,40.0,147.0,0.9912,3.06,0.44,11.4,6.58,0
1287,white,8.3,0.21,0.4,1.6,0.032,35.0,110.0,0.9907,3.02,0.6,12.9,6.79,0
1288,white,7.2,0.32,0.33,1.4,0.029,29.0,109.0,0.9902,3.15,0.51,12.8,6.93,0
1289,white,6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.992,3.38,0.44,11.2,5.4,0
1290,white,8.4,0.16,0.33,1.5,0.033,16.0,98.0,0.994,3.14,0.42,9.7,6.96,0
1291,white,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6.06,0
1292,white,6.2,0.17,0.3,1.1,0.037,14.0,79.0,0.993,3.5,0.54,10.3,5.28,0
1293,white,6.9,0.39,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87,11.6,3.64,0
1294,white,6.9,0.41,0.22,4.2,0.031,10.0,102.0,0.993,3.0,0.86,11.6,4.76,0
1295,white,7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.9966,3.04,0.56,9.7,6.3,0
1296,white,7.5,0.38,0.33,5.0,0.045,30.0,131.0,0.9942,3.32,0.44,10.9,5.28,0
1297,white,7.3,0.42,0.38,6.8,0.045,29.0,122.0,0.9925,3.19,0.37,12.6,6.02,0
1298,white,7.3,0.34,0.39,5.2,0.04,45.0,163.0,0.9925,3.3,0.47,12.4,7.08,0
1299,white,7.8,0.23,0.28,4.75,0.042,45.0,166.0,0.9928,2.96,0.4,11.5,5.85,0
1300,white,9.0,0.245,0.38,5.9,0.045,52.0,159.0,0.995,2.93,0.35,10.2,6.18,0
1301,white,6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.27,11.4,5.9,0
1302,white,7.4,0.19,0.42,6.4,0.067,39.0,212.0,0.9958,3.3,0.33,9.6,5.94,0
1303,white,8.2,0.2,0.36,8.1,0.035,60.0,163.0,0.9952,3.05,0.3,10.3,6.78,0
1304,white,8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,2.95,0.75,9.3,4.7,0
1305,white,7.9,0.14,0.45,1.8,0.05,17.0,114.0,0.9948,3.33,0.49,10.7,8.19,0
1306,white,6.8,0.24,0.4,1.8,0.047,34.0,105.0,0.99,3.13,0.49,12.8,9.28,0
1307,white,9.7,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5.8,0
1308,white,9.2,0.15,0.68,1.6,0.046,22.0,130.0,0.9948,3.02,0.45,10.4,5.76,0
1309,white,9.4,0.17,0.55,1.6,0.049,14.0,94.0,0.9949,3.02,0.61,10.3,6.36,0
1310,white,5.2,0.365,0.08,13.5,0.041,37.0,142.0,0.997,3.46,0.39,9.9,5.46,0
1311,white,6.3,0.23,0.22,3.75,0.039,37.0,116.0,0.9927,3.23,0.5,10.7,5.58,0
1312,white,9.6,0.25,0.54,1.3,0.04,16.0,160.0,0.9938,2.94,0.43,10.5,4.65,0
1313,white,9.2,0.32,0.42,1.3,0.046,14.0,186.0,0.9949,3.08,0.48,9.6,5.15,0
1314,white,6.4,0.31,0.4,6.2,0.04,46.0,169.0,0.9953,3.15,0.46,9.3,5.64,0
1315,white,8.1,0.2,0.36,9.7,0.044,63.0,162.0,0.997,3.1,0.46,10.0,5.1,0
1316,white,7.9,0.255,0.26,2.0,0.026,40.0,190.0,0.9932,3.04,0.39,11.2,5.52,0
1317,white,7.0,0.15,0.34,1.4,0.039,21.0,177.0,0.9927,3.32,0.62,10.8,5.1,0
1318,white,6.4,0.15,0.31,1.1,0.044,25.0,96.0,0.9932,3.54,0.51,10.3,6.18,0
1319,white,6.4,0.25,0.53,6.6,0.038,59.0,234.0,0.9955,3.03,0.42,8.8,4.1,0
1320,white,7.6,0.19,0.42,1.5,0.044,6.0,114.0,0.9914,3.04,0.74,12.8,5.22,0
1321,white,7.3,0.43,0.37,4.6,0.028,17.0,114.0,0.991,3.23,0.43,13.2,6.42,0
1322,white,5.1,0.31,0.3,0.9,0.037,28.0,152.0,0.992,3.54,0.56,10.1,6.36,0
1323,white,6.2,0.2,0.26,1.7,0.093,40.0,161.0,0.9924,3.44,0.66,11.0,4.1,0
1324,white,6.9,0.16,0.35,1.3,0.043,21.0,182.0,0.9927,3.25,0.62,10.8,5.22,0
1325,white,7.7,0.32,0.48,2.3,0.04,28.0,114.0,0.9911,3.2,0.52,12.8,6.58,0
1326,white,6.5,0.22,0.72,6.8,0.042,33.0,168.0,0.9958,3.12,0.36,9.2,6.42,0
1327,white,6.8,0.26,0.33,1.5,0.047,44.0,167.0,0.9928,3.12,0.44,10.5,5.76,0
1328,white,5.2,0.37,0.33,1.2,0.028,13.0,81.0,0.9902,3.37,0.38,11.7,5.1,0
1329,white,8.4,0.19,0.43,2.1,0.052,20.0,104.0,0.994,2.85,0.46,9.5,4.65,0
1330,white,8.3,0.21,0.41,2.2,0.05,24.0,108.0,0.994,2.85,0.45,9.5,4.0,0
1331,white,6.8,0.15,0.32,8.8,0.058,24.0,110.0,0.9972,3.4,0.4,8.8,4.92,0
1332,white,7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0004,3.15,0.51,9.3,6.37,0
1333,white,7.8,0.21,0.39,1.8,0.034,62.0,180.0,0.991,3.09,0.75,12.6,6.4,0
1334,white,9.0,0.24,0.5,1.2,0.048,26.0,107.0,0.9918,3.21,0.34,12.4,6.6,0
1335,white,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,5.76,0
1336,white,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,9.52,0
1337,white,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5.05,0
1338,white,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5.95,0
1339,white,8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.9959,2.99,0.39,10.8,5.22,0
1340,white,7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0,5.04,0
1341,white,7.6,0.54,0.23,2.0,0.029,13.0,151.0,0.9931,3.04,0.33,10.4,5.7,0
1342,white,8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.9959,2.99,0.39,10.8,5.04,0
1343,white,6.6,0.25,0.31,12.4,0.059,52.0,181.0,0.9984,3.51,0.47,9.8,7.14,0
1344,white,7.3,0.23,0.37,1.9,0.041,51.0,165.0,0.9908,3.26,0.4,12.2,8.64,0
1345,white,7.3,0.39,0.37,1.1,0.043,36.0,113.0,0.991,3.39,0.48,12.7,8.24,0
1346,white,7.0,0.46,0.39,6.2,0.039,46.0,163.0,0.9928,3.21,0.35,12.2,5.95,0
1347,white,8.2,0.35,0.4,6.3,0.039,35.0,162.0,0.9936,3.15,0.34,11.9,7.21,0
1348,white,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,8.4,0
1349,white,9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.9924,2.96,0.28,10.4,4.2,0
1350,white,8.0,0.57,0.39,3.9,0.034,22.0,122.0,0.9917,3.29,0.67,12.8,7.84,0
1351,white,6.5,0.37,0.33,3.9,0.027,40.0,130.0,0.9906,3.28,0.39,12.7,6.86,0
1352,white,5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.995,3.65,0.72,10.1,6.78,0
1353,white,6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.9956,3.29,0.52,10.0,5.1,0
1354,white,7.8,0.13,0.3,1.8,0.04,43.0,179.0,0.9955,3.43,0.41,9.0,4.3,0
1355,white,7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,5.75,0
1356,white,7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,3.32,0.59,8.9,7.14,0
1357,white,6.3,0.29,0.4,6.5,0.039,43.0,167.0,0.9953,3.15,0.44,9.3,6.48,0
1358,white,6.8,0.35,0.32,2.4,0.048,35.0,103.0,0.9911,3.28,0.46,12.0,7.2,0
1359,white,6.5,0.19,0.32,1.4,0.04,31.0,132.0,0.9922,3.36,0.54,10.8,7.7,0
1360,white,6.2,0.12,0.26,5.7,0.044,56.0,158.0,0.9951,3.52,0.37,10.5,6.84,0
1361,white,6.0,0.13,0.28,5.7,0.038,56.0,189.5,0.9948,3.59,0.43,10.6,7.07,0
1362,white,6.4,0.25,0.33,1.4,0.04,42.0,115.0,0.9906,3.19,0.48,11.3,8.12,0
1363,white,6.9,0.32,0.16,1.4,0.051,15.0,96.0,0.994,3.22,0.38,9.5,4.16,0
1364,white,7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.9907,2.92,0.42,11.4,4.1,0
1365,white,6.7,0.13,0.28,1.2,0.046,35.0,140.0,0.9927,3.33,0.33,10.1,6.72,0
1366,white,7.0,0.14,0.41,0.9,0.037,22.0,95.0,0.9914,3.25,0.43,10.9,5.22,0
1367,white,7.6,0.27,0.24,3.8,0.058,19.0,115.0,0.9958,3.15,0.45,8.9,5.25,0
1368,white,7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,3.32,0.59,8.9,4.92,0
1369,white,7.4,0.64,0.47,14.15,0.168,42.0,185.0,0.9984,2.9,0.49,9.3,5.5,0
1370,white,7.6,0.28,0.39,1.9,0.052,23.0,116.0,0.9941,3.25,0.4,10.4,5.94,0
1371,white,8.3,0.26,0.41,9.2,0.042,41.0,162.0,0.9944,3.1,0.38,12.0,6.93,0
1372,white,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,6.78,0
1373,white,10.7,0.22,0.56,8.2,0.044,37.0,181.0,0.998,2.87,0.68,9.5,7.02,0
1374,white,6.9,0.23,0.34,2.7,0.032,24.0,121.0,0.9902,3.14,0.38,12.4,6.37,0
1375,white,6.2,0.3,0.32,1.7,0.032,30.0,130.0,0.9911,3.28,0.41,11.2,7.49,0
1376,white,6.9,0.27,0.41,1.7,0.047,6.0,134.0,0.9929,3.15,0.69,11.4,6.42,0
1377,white,6.9,0.28,0.41,1.7,0.05,10.0,136.0,0.993,3.16,0.71,11.4,5.64,0
1378,white,6.9,0.28,0.3,1.6,0.047,46.0,132.0,0.9918,3.35,0.38,11.1,7.21,0
1379,white,6.9,0.46,0.2,0.9,0.054,5.0,126.0,0.992,3.1,0.42,10.4,7.14,0
1380,white,6.9,0.38,0.32,8.5,0.044,36.0,152.0,0.9932,3.38,0.35,12.0,6.86,0
1381,white,5.7,0.43,0.3,5.7,0.039,24.0,98.0,0.992,3.54,0.61,12.3,7.28,0
1382,white,6.6,0.56,0.16,3.1,0.045,28.0,92.0,0.994,3.12,0.35,9.1,6.12,0
1383,white,7.1,0.36,0.56,1.3,0.046,25.0,102.0,0.9923,3.24,0.33,10.5,6.0,0
1384,white,6.8,0.23,0.4,1.6,0.047,5.0,133.0,0.993,3.23,0.7,11.4,6.54,0
1385,white,6.2,0.33,0.29,1.3,0.042,26.0,138.0,0.9956,3.77,0.64,9.5,4.9,0
1386,white,5.6,0.49,0.13,4.5,0.039,17.0,116.0,0.9907,3.42,0.9,13.7,7.98,0
1387,white,6.6,0.42,0.33,2.8,0.034,15.0,85.0,0.99,3.28,0.51,13.4,5.04,0
1388,white,7.3,0.18,0.29,1.2,0.044,12.0,143.0,0.9918,3.2,0.48,11.3,5.74,0
1389,white,8.1,0.19,0.4,0.9,0.037,73.0,180.0,0.9926,3.06,0.34,10.0,5.34,0
1390,white,5.9,0.19,0.26,7.4,0.034,33.0,123.0,0.995,3.49,0.42,10.1,6.48,0
1391,white,6.2,0.16,0.47,1.4,0.029,23.0,81.0,0.99,3.26,0.42,12.2,6.42,0
1392,white,6.6,0.42,0.33,2.8,0.034,15.0,85.0,0.99,3.28,0.51,13.4,6.48,0
1393,white,5.7,0.135,0.3,4.6,0.042,19.0,101.0,0.9946,3.31,0.42,9.3,4.92,0
1394,white,5.6,0.49,0.13,4.5,0.039,17.0,116.0,0.9907,3.42,0.9,13.7,7.35,0
1395,white,6.9,0.19,0.33,1.6,0.039,27.0,98.0,0.9898,3.09,0.46,12.3,7.21,0
1396,white,7.3,0.18,0.29,1.2,0.044,12.0,143.0,0.9918,3.2,0.48,11.3,5.6,0
1397,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,6.37,0
1398,white,7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.9986,3.04,0.46,8.9,6.37,0
1399,white,7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.9928,3.19,0.46,11.5,7.14,0
